,X,y
32839,2008,
32840,2009,
32841,2011,
32842,2005,
32843,2013,
32844,January 2015,
32845,2009,
32846,May 2010,
32847,January 2010,
32848,2011,
32849,June 2010,
32850,2013,
32851,2015,
32852,2015,
32853,2007,
32854,2009,
32855,the twenty-first century,
32856,25 May 2014,
32857,2014,
32858,26 November 2015,
32859,2013,
32860,2016,
32861,2016,
32862,2019,
32863,2018,
32864,2019,
32865,earlier 2019,
32866,between the ages of 18,
32867,1944,
32868,2011,
32869,the 21st century,
32870,the late 20th century,
32871,1980,
32872,2003 to,
32873,1990,
32874,the first decade of the 21st century,
32875,the 21st century,
32876,December 2006,
32877,October 2012,
32878,six-year,
32879,March 2013,
32880,5 March 2013,
32881,14 April of the same year,
32882,19 April,
32883,the 2000s,
32884,the 2010s,
32885,the early 21st century,
32886,the late 19th century,
32887,early 20th century,
32888,July 1916,
32889,the 1920s,
32890,1930s,
32891,1935,
32892,the 1980s,
32893,the 1980s,
32894,the 1980s,
32895,1911,
32896,1973,
32897,2021,
32898,1968,
32899,2015,
32900,2006,
32901,1983,
32902,1971,
32903,2008,
32904,2011,
32905,0-8133-9821-5,
32906,1884-1914,
32907,1991,
32908,2003,
32909,0-8133-4104-3,
32910,2006,
32911,1889,
32912,1988,
32913,1916,
32914,"more than 100,000 years ago",
32915,the 13th century,
32916,the 14th and 15th century,
32917,1488,
32918,1652,
32919,1795,
32920,1806,
32921,the nineteenth century,
32922,31 May 1910,
32923,1909,
32924,1934,
32925,31 May 1961,
32926,1960,
32927,1948–1994,
32928,1948,
32929,"27 April 1994, after decades",
32930,"around 125,000 years ago",
32931,the early centuries AD,
32932,2.51 million year old,
32933,1924,
32934,1938,
32935,1947,
32936,2002,
32937,"some 70,000 years ago",
32938,recent decades,
32939,1.9 million year old,
32940,2008,
32941,2015,
32942,about 2000 years ago,
32943,the late 15th,
32944,early 16th centuries,
32945,the late 16th and 17th centuries,
32946,the mid-17th century,
32947,today,
32948,1652,
32949,1659,
32950,1673,
32951,the 2nd and 1st,
32952,today,
32953,today,
32954,present-day,
32955,present-day,
32956,between AD 900 and 1300,
32957,the 14th century,
32958,1488,
32959,November 1497,
32960,16 December,
32961,Christmas,
32962,1652,
32963,6 April,
32964,1688,
32965,1787,
32966,1794/1795,
32967,1795,
32968,1803,
32969,1805,
32970,1806,
32971,1815,
32972,1820,
32973,the 19th century,
32974,1780 to 1795,
32975,between 1777 and 1786,
32976,1849,
32977,today,
32978,The 1820s,
32979,1818,
32980,1828,
32981,1806,
32982,the 1830s,
32983,1 December 1838,
32984,1852 to 1902,
32985,17 January 1852,
32986,the end of the,
32987,31 May 1902,
32988,1848 to 1854,
32989,1854,
32990,March 1858,
32991,the next 10 years,
32992,1900,
32993,1902,
32994,1904,
32995,1910,
32996,1839,
32997,1824,
32998,1838,
32999,May 1842,
33000,14 days,
33001,20 days later,
33002,1844,
33003,Between 1847 and 1854,
33004,1848,
33005,1850,
33006,the mid-1800s,
33007,1854,
33008,1872,
33009,1654.By the end of 1847,
33010,between 1849,
33011,1851.By 1860,
33012,1834,
33013,1843,
33014,that year,
33015,the next 50 years,
33016,1893,
33017,1994,
33018,the late 1700s,
33019,today,
33020,the 19th century,
33021,1825,
33022,1845,
33023,the beginning of nine years,
33024,1861,
33025,today,
33026,1874,
33027,1879.The,
33028,1871,
33029,1878,
33030,hundreds of years earlier,
33031,1779,
33032,nearly 100 years,
33033,1811 to 1812,
33034,the 1820s,
33035,1818,
33036,1819,
33037,16 December 1838,
33038,1879,
33039,1874,
33040,11 December 1878,
33041,today,
33042,1830s,
33043,1845,
33044,1851,
33045,1852,
33046,1854,
33047,1858 to 1868,
33048,15 October 1858,
33049,1865,
33050,1866,
33051,12 March 1868,
33052,1836,
33053,present-day,
33054,September 1854,
33055,late October,
33056,about three weeks later,
33057,between 1876 and 1879,
33058,1878/1879,
33059,2 December 1879,
33060,two years,
33061,between 1866 and 1867,
33062,1869,
33063,1871,
33064,1877,
33065,1880,
33066,the 1870s,
33067,1880s,
33068,1872,
33069,1871,
33070,1875,
33071,1888,
33072,1902,
33073,the late 19th century,
33074,February 1886,
33075,many years,
33076,two years,
33077,1887,
33078,1895,
33079,decades,
33080,1880,
33081,1914,
33082,mid-1903,
33083,mid-1899,
33084,June 1904,
33085,January 1907,
33086,1877,
33087,1880,
33088,27 February 1881,
33089,1883,
33090,1895,
33091,1899,
33092,June 1900,
33093,two more years,
33094,1902,
33095,October 1899,
33096,31 May 1902,
33097,the years,
33098,several years,
33099,1909,
33100,1913,
33101,the next nine decades,
33102,1914,
33103,September 1914,
33104,1924,
33105,5 October 1960,
33106,14 October 1914,
33107,six to seven years,
33108,21 February 1917,
33109,August 1945,
33110,21 June 1942,
33111,1939,
33112,28 May 1941,
33113,May 1945,
33114,1919,
33115,1914,
33116,1923,
33117,1896,
33118,the 1970s,
33119,the mid-1990s,
33120,the early to mid-1990s,
33121,1994,
33122,11 March 1994,
33123,3 April 2010,
33124,the 17th century,
33125,1948,
33126,1991,
33127,1970,
33128,1947,
33129,1987,
33130,1976,
33131,the mid-1980s,
33132,16 December 1966,
33133,30 November 1973,
33134,18 July 1976,
33135,23 October 1984,
33136,12 November 1974,
33137,4 November 1977,
33138,1994,
33139,the mid-1980s,
33140,mid-1987,
33141,Between 1960–1994,
33142,early 2002,
33143,post-1994,
33144,2004,
33145,1980,
33146,early-November 1975,
33147,23 October,
33148,More than a decade later,
33149,between 1992 and 1993,
33150,Between 1975 and 1988,
33151,4 May 1978,
33152,6 May 1978,
33153,23 August,
33154,1981,
33155,the 1980s,
33156,the 1950s,
33157,1952,
33158,1950,
33159,the 1940s to the 1960s,
33160,March 1960,
33161,the 1960s,
33162,1989,
33163,2003,
33164,the early 1960s,
33165,1993,
33166,1993,
33167,16 June 1976,
33168,1983,
33169,1987,
33170,1988,
33171,between 1960 and 1990,
33172,1994,
33173,June 1991,
33174,three years later,
33175,the 1980s,
33176,2 February 1990,
33177,twenty-seven years,
33178,17 March 1992,
33179,26 July 1993,
33180,26–29 April 1994,
33181,9 May 1994,
33182,10 May 1994,
33183,the end of the,
33184,1999,
33185,1996,
33186,25 January 1990,
33187,1994,
33188,2008,
33189,1995,
33190,the year before,
33191,2021,
33192,each year,
33193,2019,
33194,the mid-1980s,
33195,1994,
33196,September 2001.A,
33197,2011,
33198,2011,
33199,2005,
33200,mid-August 2012,
33201,2014,
33202,2007,
33203,2014,
33204,2007,
33205,2006,
33206,2008,
33207,2009,
33208,both years,
33209,2007,
33210,2021,
33211,July 2021,
33212,2009 to,
33213,2018,
33214,mid-July,
33215,18 July,
33216,22 July,
33217,July 2021,
33218,Years,
33219,3 March 2016,
33220,12 January 2012,
33221,24 November 2017,
33222,20 February 2005,
33223,10 years later,
33224,November 2018,
33225,5 October 2017,
33226,5 October 2017,
33227,the late 1400s,
33228,early 1500s,
33229,nearly two millennia,
33230,' thousands of years,
33231,sixteenth century,
33232,the early nineteenth century,
33233,the 19th century,
33234,the late 19th and 20th centuries,
33235,the early 1900s,
33236,Early Mesozoic,
33237,approximately 30 million years,
33238,million years,
33239,today,
33240,approximately 3 million years ago,
33241,present-day,
33242,present-day,
33243,today,
33244,2000,
33245,present-day,
33246,the last two thousand years,
33247,"at least 11,200 years ago",
33248,the 1970s,
33249,two millennia,
33250,27th century,
33251,today,
33252,many years,
33253,800 AD,
33254,"around 30,000 years",
33255,April 1536,
33256,a year,
33257,"April 20, 1537",
33258,the 1970s,
33259,between 0–1250 AD,
33260,"at least 11,000 years",
33261,1542,
33262,the 1540s,
33263,1500,
33264,1900,
33265,the early 1980s,
33266,centuries,
33267,2003,
33268,the first and ninth century,
33269,1438 to 1533,
33270,the century,
33271,1492,
33272,Between 1452 and 1493,
33273,1494,
33274,1498,
33275,1499,
33276,17th and 18th centuries,
33277,1616,
33278,1624,
33279,1630,
33280,1643,
33281,the sixteenth century,
33282,1713,
33283,today,
33284,Between 1721 and 1735,
33285,Between 1742 and 1756,
33286,1780,
33287,1763,
33288,1781,
33289,1796,
33290,the eighteenth century,
33291,"August 15, 1801",
33292,the year,
33293,Between 1806 and 1807,
33294,19th century,
33295,the first quarter of the 19th century,
33296,8 December 1807,
33297,between 1808 and 1821,
33298,1822,
33299,1828,
33300,A few years later,
33301,1831,
33302,the 20th century,
33303,the 20th century,
33304,1903,
33305,1962,
33306,1966,
33307,20th century,
33308,the start of the century,
33309,"the December 7, 1941",
33310,the 20th century,
33311,the 20th century,
33312,the late 20th century,
33313,the 1960s,
33314,1970s,
33315,the 1980s and 1990s,
33316,the late 20th century,
33317,the postwar period,
33318,Late 20th century,
33319,the 1970s,
33320,the 1970s,
33321,the early 1990s,
33322,1964,
33323,the 1980s,
33324,the 1960s,
33325,1970s,
33326,the 1980s and 1990s,
33327,the 1980s,
33328,the 1980s,
33329,mid-1990s,
33330,2001,
33331,the 1980s and '90s,
33332,21st century,
33333,the 1990s,
33334,1999,
33335,2003,
33336,2006,
33337,2005,
33338,the preceding six years,
33339,2006,
33340,21st century,
33341,the 2000s or 1990s,
33342,1998,
33343,1999,
33344,2002,
33345,2002,
33346,2003,
33347,2004,
33348,2005,
33349,2006,
33350,2006,
33351,2007,
33352,2008,
33353,2010,
33354,2010,
33355,2011,
33356,2013,
33357,2014,
33358,2015,
33359,2017,
33360,2019,
33361,2020,
33362,2021,
33363,2022,
33364,2022,
33365,the first decade of the 21st century,
33366,2008,
33367,2010,
33368,2010,
33369,2010,
33370,2010,
33371,2011,
33372,2013,
33373,2013,
33374,2014,
33375,2015,
33376,2015,
33377,2015,
33378,2016,
33379,2016,
33380,2017,
33381,2018,
33382,2018,
33383,2018,
33384,2018,
33385,2019,
33386,2019,
33387,2020,
33388,2020,
33389,2020,
33390,2020,
33391,2020,
33392,2020,
33393,2021,
33394,2021,
33395,2022,
33396,2022,
33397,2022,
33398,2023,
33399,1988,
33400,4,
33401,2016-08-27,
33402,2016-08-26,
33403,2013,
33404,1993,
33405,the 16th century,
33406,2019-11-03,
33407,2016-07-08,
33408,2012,
33409,2014-05-03,
33410,2016-07-08,
33411,2008,
33412,1537–1640,
33413,2003,
33414,2016-07-08,
33415,2007,
33416,1810–1830,
33417,0-7195-5566-3,
33418,four thousand years,
33419,the 15th century,
33420,the 16th and 18th century CE,
33421,centuries,
33422,the early centuries,
33423,the end of the 15th century,
33424,The early Pandya dynasty,
33425,the early 6th century,
33426,the 9th century,
33427,the late 13th century,
33428,the 14th century,
33429,late 1st century,
33430,the early years of the dynasty,
33431,the 4th century CE,
33432,almost 300 years,
33433,the 13th century,
33434,1279,
33435,around the 12th century,
33436,5th century,
33437,4th century,
33438,40 days,
33439,1st century,
33440,annual,
33441,about 450 years,
33442,the 3rd century,
33443,between the 3rd century,
33444,the 9th century,
33445,today,
33446,the 9th centuries,
33447,The dynasty,
33448,another five hundred years,
33449,the 10th century,
33450,the 10th century,
33451,Early Middle Ages,
33452,five hundred years,
33453,the 6th to the 8th century,
33454,the 10th century,
33455,year 825 CE,
33456,9th century,
33457,the 11th century,
33458,the 15th century,
33459,1102,
33460,the 14th century,
33461,today,
33462,three centuries,
33463,the 11th century,
33464,the early 12th century,
33465,the end of the century,
33466,three centuries,
33467,the 7th century,
33468,the 12th century,
33469,1289,
33470,the early 14th century,
33471,1303,
33472,a few years from 1310,
33473,1318,
33474,1320,
33475,1323,
33476,Thoranam,
33477,the 5th century,
33478,the 11th century,
33479,the mid 1290s,
33480,the 15th century,
33481,the 10th century,
33482,50 years,
33483,the next five centuries,
33484,1323,
33485,a hundred years from 1325 to 1448,
33486,the middle of the 15th century,
33487,Late middle ages,
33488,1323,
33489,1333,
33490,the early 16th century,
33491,the next few centuries,
33492,the early 14th-century,
33493,1336,
33494,1343,
33495,the first two decades,
33496,1374,
33497,today,
33498,1424,
33499,the late 15th century,
33500,1485,
33501,1491,
33502,nearly two decades,
33503,decades,
33504,1529,
33505,1542,
33506,1565,
33507,1632,
33508,about ten years,
33509,the coming centuries,
33510,the 18th century,
33511,1947,
33512,1799,
33513,present-day,
33514,the Middle Ages,
33515,the 14th century,
33516,the 15th century,
33517,the end of the 15th century,
33518,1403 AD,
33519,this day,
33520,1445,
33521,present-day,
33522,the 15th century,
33523,1443,
33524,the next fifty years,
33525,1498,
33526,the end of the 11th century,
33527,between the 7th and 8th centuries,
33528,the dynasty,
33529,the beginning of the 10th century,
33530,1096,
33531,the 12th century,
33532,the second half of the 12th century,
33533,the 18th century,
33534,Late Middle Ages,
33535,1498,
33536,1498,
33537,1497–1499,
33538,1505,
33539,the early 17th century,
33540,1664,
33541,the 18th century,
33542,1741,
33543,1753,
33544,1763,
33545,the 18th century CE,
33546,1620,
33547,today,
33548,1659,
33549,1736,
33550,the late 17th century,
33551,their dynasty,
33552,1674 to 1818,
33553,the 17th century,
33554,today,
33555,the next few decades,
33556,1399,
33557,1799,
33558,1950,
33559,1947,
33560,1956,
33561,The 17th century,
33562,1799,
33563,1947,
33564,today,
33565,the middle of the 18th century,
33566,15 August 1947,
33567,between 1947 and 1950,
33568,1953,
33569,1 November 1953,
33570,1956,
33571,1956,
33572,1968,
33573,1972,
33574,1961,
33575,1987,
33576,the 1950s,
33577,the early 5th century AD,
33578,about 200 years,
33579,1469,
33580,several centuries,
33581,1492,
33582,that year,
33583,the subsequent decades,
33584,Spanish Habsburg dynasty,
33585,the Eighty Years' War,
33586,1813,
33587,the nineteenth century,
33588,The twentieth century,
33589,almost four decades,
33590,1978,
33591,1986,
33592,1992,
33593,1998,
33594,2014,
33595,1.4 million years ago,
33596,"some 35,000 years ago",
33597,9th century,
33598,the late 7th century,
33599,Greeks,
33600,Iber,
33601,the 6th century,
33602,the 4th century,
33603,2nd century,
33604,5th century AD,
33605,the 2nd century,
33606,the 5th century,
33607,The centuries,
33608,5th–8th centuries,
33609,the 5th century,
33610,"Visigoths, Suebi",
33611,the winter of,
33612,two years earlier,
33613,the early 8th century,
33614,the 12th century,
33615,1250,
33616,1492,
33617,Recceswinth,
33618,the early Middle Ages,
33619,the present day,
33620,the 6th and 7th centuries,
33621,the end of the Visigothic,
33622,the 8th century,
33623,the 8th century,
33624,Recceswinth,
33625,1921,
33626,the mid 7th century,
33627,the fifth and eighth centuries,
33628,the beginning of the Visigothic Kingdom,
33629,8th–15th centuries,
33630,710 AD,
33631,the summer,
33632,July 19,
33633,the 9th and 10th centuries,
33634,more than a century,
33635,the first Arab dynasty,
33636,the 10th century,
33637,the 10th century,
33638,the year 1000,
33639,988,
33640,summer,
33641,1147,
33642,the mid-13th century,
33643,1492,
33644,1085,
33645,the 12th century,
33646,1212,
33647,1250,
33648,the 13th century,
33649,the century,
33650,today,
33651,the last years,
33652,the 13th to the 16th century,
33653,the 12th to the 18th century,
33654,the 20th century,
33655,the 13th century,
33656,1492,
33657,the 15th century,
33658,1474,
33659,1469,
33660,"January 15, 1474",
33661,the 13th century,
33662,the 14th century,
33663,1391,
33664,1492,
33665,1493,
33666,1542,
33667,decades,
33668,about 60 years,
33669,the early 17th century,
33670,between 1402,
33671,1496,
33672,1520,
33673,1492,
33674,the next two centuries,
33675,1497,
33676,1509,
33677,1610,
33678,1668,
33679,Today,
33680,the 16th century,
33681,1312,
33682,1402,
33683,1495,
33684,the 15th and 16th centuries,
33685,1492,
33686,Between 1500 and 1600,
33687,80 years,
33688,the 1520s,
33689,1546,
33690,a few years in the 17th century,
33691,the 16th and 17th centuries,
33692,1580,
33693,1640,
33694,the 19th century,
33695,the 1640s,
33696,16th century,
33697,the late 18th century,
33698,the 16th and 17th centuries,
33699,1640,
33700,1516,
33701,1555,
33702,1556,
33703,the 1560s,
33704,the later 16th century,
33705,1588,
33706,the following century,
33707,1596–1602,
33708,17th-century,
33709,the 17th century,
33710,the present day,
33711,17th century,
33712,the middle 16th century,
33713,between 1557 and 1666.Philip II,
33714,1598,
33715,ten-year,
33716,1618,
33717,Thirty Years' War,
33718,1621,
33719,1621,
33720,1643,
33721,the Eighty Years' War,
33722,the Thirty Years' War,
33723,the Thirty Years' War,
33724,1635,
33725,1635,
33726,The following year,
33727,1636,
33728,1640,
33729,1643,
33730,no later than 1659,
33731,fifty years,
33732,the 17th century,
33733,the 16th century,
33734,1620,
33735,1660,
33736,1622,
33737,1629,
33738,1632,
33739,1598,
33740,1621,
33741,a century before,
33742,seventeenth-century,
33743,the sixteenth century,
33744,1700,
33745,the Bourbon dynasty,
33746,1700,
33747,1715,
33748,1650–1700 era,
33749,1717,
33750,December 1718,
33751,two years,
33752,February 1720,
33753,1748,
33754,the Seven Years' War,
33755,1763,
33756,1783,
33757,1788,
33758,1808,
33759,1808,
33760,the 18th century,
33761,the 17th century,
33762,about 1750,
33763,1676–1764,
33764,the 1770s,
33765,the 1780s,
33766,the late 18th century,
33767,1808,
33768,1812,
33769,1806 and 1807,
33770,1805,
33771,1808,
33772,March 1808,
33773,"July 20, 1808",
33774,"September 26, 1808",
33775,"February 22 and 23, 1809",
33776,1809,
33777,March 1812,
33778,annual,
33779,two-year,
33780,1808,
33781,1814,
33782,1728,
33783,eighty years of age,
33784,1808,
33785,1777,
33786,1792,
33787,1744,
33788,the previous century,
33789,1797 to 1798,
33790,1792,
33791,1798,
33792,1801,
33793,1808,
33794,June 1808,
33795,several years,
33796,1813,
33797,1814,
33798,1814,
33799,1824,
33800,1820,
33801,1820,
33802,1820 to 1823,
33803,three years,
33804,1822,
33805,1823,
33806,the end of the,
33807,the next decade,
33808,1833,
33809,only three years old,
33810,the end of 1833,
33811,1835,
33812,1835,
33813,1836,
33814,1839,
33815,1840,
33816,various quarters,
33817,1843,
33818,1846,
33819,1849,
33820,1854,
33821,1854,
33822,1856,
33823,that year,
33824,1868,
33825,1868,
33826,Two years later,
33827,1870,
33828,early the following year,
33829,11 February 1873,
33830,all quarters,
33831,1872,
33832,January 1874,
33833,December 1874,
33834,December 1874,
33835,1876,
33836,age in 1902,
33837,1876,
33838,1876,
33839,1898,
33840,1868,
33841,1895,
33842,1898,
33843,1899,
33844,1898,
33845,the early 20th century,
33846,1909,
33847,1999,
33848,1898,
33849,1898,
33850,1905,
33851,the next three decades,
33852,the later years,
33853,the last two,
33854,August 1917,
33855,1917,
33856,the Summer of 1921,
33857,days,
33858,1912,
33859,the 20th century,
33860,September 1923,
33861,September 1923 to May 1925,
33862,1876,
33863,1925,
33864,1917,
33865,The late 1920s,
33866,1929,
33867,early 1930,
33868,February 1931,
33869,April 1931,
33870,14 April 1931,
33871,14 April 1931,
33872,June 1931,
33873,1932,
33874,9 December 1931,
33875,the Second Spanish Republic,
33876,1933,
33877,October 1934,
33878,1939,
33879,17–18 July 1936,
33880,February 1936,
33881,25 July,
33882,day,
33883,1936,
33884,previous years,
33885,17 July 1936,
33886,1937,
33887,November 1936,
33888,1937,
33889,late 1937,
33890,26 April 1937,
33891,July,
33892,November 1938,
33893,early 1939,
33894,March 1939.The,
33895,centuries,
33896,between 1939 and 1943,
33897,years,
33898,decades,
33899,1939–1975,
33900,between 1939 and 1943,
33901,Franco,
33902,the 1960s,
33903,1969,
33904,1985,
33905,1967,
33906,1968,
33907,1969,
33908,The latter years,
33909,20 November 1975,
33910,the last few months,
33911,1975,
33912,20 November 1975,
33913,28 October 1982,
33914,Between 1978 and 1982,
33915,1981,
33916,October 1982,
33917,1 January 1986,
33918,March 1986,
33919,1982,
33920,1983,
33921,1984,
33922,1992,
33923,1993,
33924,1996,
33925,1 January 1999,
33926,"January 1, 2002",
33927,11 March 2004,
33928,three days,
33929,two decades,
33930,2008,
33931,the boom years,
33932,2008,
33933,2012,
33934,early 2013,
33935,between 2008,
33936,1999,
33937,1925,
33938,1): 97,
33939,120334,
33940,2006,
33941,28,
33942,36,
33943,0212-078X.,
33944,2000,
33945,0-333-64828-5,
33946,1988,
33947,2008,
33948,1808–1975,
33949,978-84-344-6615-9,
33950,2000,
33951,2003,
33952,0-415-13813-2,
33953,2004,
33954,0-631-18185-7,
33955,2002,
33956,978-0141925578,
33957,1992,
33958,1894,
33959,1974,
33960,978-0520025349,
33961,1959,
33962,1931–1933,
33963,0002-8762,
33964,1993,
33965,1997,
33966,84-7908-335-2,
33967,1991,
33968,37–66,
33969,0578-8072,
33970,20840024,
33971,1997,
33972,1986,
33973,1973,
33974,1973,
33975,2 After 1700,
33976,2007,
33977,1): 85,
33978,2010,
33979,1999,
33980,Twentieth-Century,
33981,1898–1998,
33982,1994,
33983,2011,
33984,1696-2206,
33985,1965,
33986,"April 19, 2020",
33987,2003,
33988,978-0375502040,
33989,2010,
33990,2011,
33991,2014,
33992,1999,
33993,2006,
33994,978-0816049646,
33995,1999,
33996,978-1884964336,
33997,2005,
33998,1460–1977,
33999,1977,
34000,2018,
34001,1995,
34002,1991,
34003,1961,
34004,4,
34005,1993,
34006,the nineteenth century,
34007,2018,
34008,1962,
34009,2014,
34010,830–843,
34011,2022-08-17,
34012,2022-08-17,
34013,2006-04-26,
34014,2006-04-26,
34015,2022-08-17,
34016,1999-09-15,
34017,2022-08-17,
34018,2003,
34019,2019-03-15,
34020,the past 8000 years,
34021,6432,
34022,0036-8075,
34023,2022-08-17,
34024,"around 15,300 years ago",
34025,21st century,
34026,today,
34027,1600,
34028,every four years,
34029,the 6th century,
34030,three thousand years ago,
34031,as early as 2000,
34032,thousands of years old,
34033,at least 900 years,
34034,the fourteenth century no fewer than thirty,
34035,the Middle Ages,
34036,today,
34037,days,
34038,The Middle Ages,
34039,the late middle ages,
34040,this era,
34041,1534,
34042,the sixteenth,
34043,seventeenth-centuries,
34044,1665,
34045,today,
34046,1995,
34047,19th century,
34048,the century before,
34049,winter,
34050,today,
34051,1642,
34052,1660,
34053,1664,
34054,the 18th century,
34055,1660,
34056,The year 1660,
34057,1739,
34058,the 19th century,
34059,the end of the 19th century,
34060,1914,
34061,the late 19th,
34062,early 20th centuries,
34063,today,
34064,today,
34065,the 1840s,
34066,18th-century,
34067,the mid-19th century,
34068,decades,
34069,2008,
34070,18th-century,
34071,1755,
34072,the 1870s,
34073,the 1880s,
34074,1830,
34075,The 21st century,
34076,the 19th,
34077,early 20th century,
34078,1896,
34079,The 20th century,
34080,1922,
34081,1923,
34082,"1922, 1926,",
34083,1930,
34084,1934,
34085,1924,
34086,1924,
34087,twentieth centuries,
34088,1972,
34089,1787,
34090,1818,
34091,the end of the 20th century,
34092,The 21st century,
34093,2008,
34094,1789–1914,
34095,2012,
34096,2004,
34097,1992,
34098,1996,
34099,2002,
34100,1981,
34101,1990,
34102,2001,
34103,1996,
34104,19,
34105,2011,
34106,25 February 2012,
34107,Morrow,
34108,2009,
34109,1998,
34110,2007,
34111,2004,
34112,AD 1000,
34113,the 14th century,
34114,the 11th century,
34115,the 6th to 16th centuries,
34116,the second half of the 13th century,
34117,today,
34118,the following centuries,
34119,the late 14th century,
34120,the following century,
34121,1520,
34122,1523,
34123,the 17th century,
34124,the Thirty Years' War,
34125,this day,
34126,the end of the 17th century,
34127,the start of the 18th century,
34128,1721,
34129,the day,
34130,Between 1570 and 1800,
34131,1808–1809,
34132,the early 19th century,
34133,1814,
34134,1905,
34135,1814,
34136,44 years,
34137,1976,
34138,AD 800,
34139,centuries,
34140,the 11th and 12th centuries,
34141,1060,
34142,the 17th century,
34143,a century,
34144,the 9th century,
34145,Around the year 1000,
34146,the 12th century,
34147,the Bjelbo dynasty,
34148,This dynasty,
34149,the middle of the 13th century,
34150,1332,
34151,Magnus,
34152,21 July 1336,
34153,Magnus,
34154,1360,
34155,the early Middle Ages,
34156,1397,
34157,the 16th century,
34158,the early 16th century,
34159,1523,
34160,1527,
34161,1538,
34162,1558,
34163,1535,
34164,1544,
34165,the 16th and 17th centuries,
34166,the 17th century,
34167,1561,
34168,1590,
34169,the following years,
34170,1617,
34171,1629,
34172,the Thirty Years' War,
34173,1628,
34174,1630,
34175,1645,
34176,1648,
34177,the Thirty Years' War,
34178,1638,
34179,1655,
34180,five years,
34181,1658,
34182,1660,
34183,1679,
34184,1679,
34185,1680,
34186,1700,
34187,the early years,
34188,1700,
34189,June 1709,
34190,three years,
34191,1714,
34192,1718,
34193,the nineteenth century,
34194,1739,
34195,1765,
34196,"1741, 1757,",
34197,1788,
34198,1809,
34199,the day,
34200,1766,
34201,1739,
34202,1753,
34203,half a century,
34204,1746–1792,
34205,1771,
34206,1772,
34207,1810,
34208,present-day,
34209,the 1630s,
34210,1784,
34211,1878,
34212,1847,
34213,Between 1570 and 1800,
34214,the mid-18th century,
34215,the 1690s,
34216,around 1750,
34217,19th century,
34218,1809,
34219,February 1808 to September 1809,
34220,1809,
34221,1814,
34222,1810,
34223,1813,
34224,1905,
34225,the 1830s,
34226,1838,
34227,The 19th century,
34228,the 1860s and 1910,
34229,between 1850 and 1890,
34230,1873,
34231,The late 19th century,
34232,Two years,
34233,about 1810,
34234,the first half of the century,
34235,between the ages of one and four,
34236,the early 19th century,
34237,1880,
34238,1892,
34239,20th century,
34240,1907,
34241,1900,
34242,the 1920s,
34243,1911,
34244,1932,
34245,the 1930s,
34246,decades,
34247,1944,
34248,late 1944,
34249,January 1945,
34250,1947,
34251,1946,
34252,44 years,
34253,the 1950s,
34254,1960s,
34255,the decades following 1945,
34256,the 1970s,
34257,1976,
34258,1976,
34259,the next six years,
34260,1976,
34261,these years,
34262,1982,
34263,the early 1960s,
34264,28 February 1986,
34265,1995,
34266,a few years,
34267,2003,
34268,the 1980s,
34269,the 1990s,
34270,1991,
34271,2000,
34272,1998,
34273,the 19th century,
34274,early 20th century,
34275,1876,
34276,1776–1831,
34277,1900,
34278,around 1910,
34279,a half-century,
34280,1960,
34281,the postwar period,
34282,1990,
34283,20th-century,
34284,1956,
34285,1979,
34286,1935,
34287,1963,
34288,2008,
34289,1750–2010,
34290,Lund 2013,
34291,2000,
34292,2005,
34293,2002,
34294,1988,
34295,2005,
34296,1996,
34297,2005,
34298,2005,
34299,1991,
34300,1988,
34301,the Thirty Years' War,
34302,1630–1635,
34303,1996,
34304,1968,
34305,1991,
34306,1979,
34307,2011,
34308,1700,
34309,1986,
34310,1810–1844 (1925,
34311,1980,
34312,1902,
34313,the Present Day,
34314,1739–1989,
34315,1989,
34316,1979,
34317,1986,
34318,1985,
34319,1995,
34320,1931,
34321,1970,
34322,2019,
34323,1750–2010,
34324,Lund 2013,
34325,1988,
34326,1987,
34327,1993,
34328,23 October 2013,
34329,15 March 2017,
34330,241+,
34331,1965,
34332,1966,
34333,1991,
34334,1990,
34335,1986,
34336,1719–1772,
34337,1986,
34338,2011,
34339,1905,
34340,1991,
34341,2016,
34342,1977,
34343,265–287,
34344,the turn of the century 2000,
34345,2002,
34346,1995,
34347,2011,
34348,1848,
34349,more than 700 years,
34350,the 1st century,
34351,the 6th century,
34352,1798,
34353,1803,
34354,1847,
34355,1848,
34356,1848,
34357,1972,
34358,1995,
34359,2002,
34360,"150,000 years ago",
34361,as early as 3800,
34362,March 2017,
34363,approximately 40 years old,
34364,the fourth century,
34365,two years later,
34366,the early 7th century,
34367,today,
34368,the 10th century,
34369,the 12th century,
34370,1157,
34371,1191,
34372,1218,
34373,1231,
34374,1240,
34375,the Kyburg dynasty,
34376,1273,
34377,1 August 1291,
34378,1353,
34379,the 15th century,
34380,1386,
34381,1440,
34382,1450,
34383,1481,
34384,1499,
34385,1495,
34386,1506,
34387,the present day,
34388,1515,
34389,1523,
34390,1518,
34391,1529,
34392,1531,
34393,the Thirty Years' War,
34394,1620,
34395,1623,
34396,1648,
34397,1797,
34398,1653,
34399,1656,
34400,1712,
34401,spring 1798,
34402,1798,
34403,1815,
34404,1879,
34405,1803,
34406,6 April 1814,
34407,1814,
34408,the 17th and 18th centuries,
34409,7 August 1815,
34410,the early 1840s,
34411,1841,
34412,1847,
34413,1847,
34414,1815,
34415,"October 21, 1847",
34416,less than a month,
